Deskripsi,Unit,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1. Pesawat,,,,,,,,,,,,,,,,,,,,,
Berangkat,Unit, 352 028, 444 346, 453 177, 475 728, 454 041, 424 118, 509 305, 576 200, 671 953, 717 435, 796 788, 768 658, 790 779, 896 489, 969 580,1 005 237, 876 996, 526 761, 484 574, 604 238
Datang,Unit, 340 467, 446 651, 440 520, 470 956, 454 267, 430 961, 513 132, 574 423, 671 377, 719 030, 800 193, 769 762, 791 783, 894 104, 972 863,1 011 111, 880 645, 523 960, 485 290, 598 378
2. Penumpang,,,,,,,,,,,,,,,,,,,,,
Berangkat,Orang,19 285 473,27 852 759,29 817 126,32 687 079,34 864 507,36 144 036,41 691 068,48 872 363,59 275 637,70 682 216,73 594 917,71 625 696,72 563 813,83 349 974,90 744 365,94 896 041,76 156 367,33 513 741,30 697 923,52 783 838
Datang,Orang,21 171 281,29 150 506,24 812 276,33 816 344,33 963 707,36 388 502,42 565 099,50 519 023,59 035 279,69 494 439,77 568 403,73 889 533,75 593 248,87 208 889,95 401 545,101 260 614,80 108 804,35 164 959,33 995 847,57 030 816
Transit,Orang,2 068 460,2 742 690,1 156 249,2 856 287,4 271 062,2 763 811,4 809 422,5 682 813,8 216 516,7 683 843,8 020 644,6 955 759,7 048 233,8 138 360,11 363 232,10 423 132,6 686 285,3 545 143,4 387 779,5 610 870
3. Barang,,,,,,,,,,,,,,,,,,,,,
Muat,Ton, 175 627, 275 397, 260 354, 265 940, 297 683, 300 170, 288 651, 375 760, 463 507, 520 561, 525 412, 542 927, 597 939, 534 594, 603 152, 709 557, 579 789, 544 147, 602 107, 642 730
Bongkar,Ton, 194 878, 210 151, 235 575, 255 204, 274 392, 331 517, 311 428, 348 476, 450 218, 462 725, 469 149, 392 566, 496 300, 445 440, 557 653, 642 065, 552 076, 525 554, 622 202, 577 454
4. Bagasi,,,,,,,,,,,,,,,,,,,,,
Muat,Ton, 203 257, 248 179, 292 662, 323 346, 368 934, 352 245, 396 552, 461 884, 453 556, 564 815, 610 344, 554 271, 584 304, 712 731, 723 180, 742 747, 450 015, 188 342, 229 688, 435 756
Bongkar,Ton, 207 808, 277 406, 287 318, 216 440, 364 691, 357 494, 395 810, 440 330, 404 607, 532 075, 613 197, 565 883, 568 726, 735 193, 729 283, 784 908, 570 042, 189 034, 234 335, 450 471
5. Pos/Paket,,,,,,,,,,,,,,,,,,,,,
Muat,Ton, 7 804, 8 883, 8 449, 7 039, 7 881, 16 640, 11 335, 10 883, 9 809, 9 524, 7 237, 3 019, 2 945, 4 274, 3 568, 9 066, 3 422,496,470,502
Bongkar,Ton, 6 653, 8 937, 7 944, 8 931, 7 804, 19 398, 10 639, 10 533, 9 871, 8 515, 9 039, 4 131, 4 575, 3 364, 3 166, 4 881, 3 179,619,429,686
,,,,,,,,,,,,,,,,,,,,,
"Sumber : PT (Persero) Angkasa Pura I dan II, Kementerian Perhubungan ",,,,,,,,,,,,,,,,,,,,,
